time,open,high,low,close
2025-10-15 21:40:00+00:00,1.16453,1.16453,1.16448,1.16448
2025-10-15 21:41:00+00:00,1.16453,1.16453,1.16446,1.16446
2025-10-15 21:42:00+00:00,1.16447,1.16454,1.16446,1.16452
2025-10-15 21:43:00+00:00,1.16452,1.16454,1.1645,1.16453
2025-10-15 21:44:00+00:00,1.1645,1.16454,1.1644,1.1644
2025-10-15 21:45:00+00:00,1.16442,1.16443,1.16438,1.16439
2025-10-15 21:46:00+00:00,1.1644,1.16444,1.1644,1.1644
2025-10-15 21:47:00+00:00,1.16443,1.16443,1.1644,1.1644
2025-10-15 21:48:00+00:00,1.16441,1.16444,1.1644,1.16444
2025-10-15 21:49:00+00:00,1.16442,1.16448,1.16442,1.16448
2025-10-15 21:50:00+00:00,1.16447,1.16455,1.16446,1.16448
2025-10-15 21:51:00+00:00,1.16448,1.16448,1.16446,1.16446
2025-10-15 21:52:00+00:00,1.16446,1.16454,1.16446,1.16454
2025-10-15 21:53:00+00:00,1.16455,1.16455,1.1645,1.16454
2025-10-15 21:54:00+00:00,1.16454,1.16454,1.16446,1.16449
2025-10-15 21:55:00+00:00,1.16448,1.16448,1.16442,1.16444
2025-10-15 21:56:00+00:00,1.16443,1.16443,1.1644,1.16441
2025-10-15 21:57:00+00:00,1.16442,1.16444,1.1644,1.16443
2025-10-15 21:58:00+00:00,1.16444,1.16444,1.1644,1.16441
2025-10-15 21:59:00+00:00,1.16442,1.16444,1.16436,1.16442
2025-10-15 22:00:00+00:00,1.16439,1.16472,1.16436,1.16461
2025-10-15 22:01:00+00:00,1.16462,1.16482,1.16462,1.1648
2025-10-15 22:02:00+00:00,1.16482,1.16482,1.16479,1.1648
2025-10-15 22:03:00+00:00,1.16482,1.16482,1.16479,1.1648
2025-10-15 22:04:00+00:00,1.1648,1.1648,1.1648,1.1648
2025-10-15 22:05:00+00:00,1.16479,1.1648,1.16477,1.16479
2025-10-15 22:06:00+00:00,1.16478,1.16478,1.16476,1.16478
2025-10-15 22:07:00+00:00,1.16478,1.16479,1.16478,1.16478
2025-10-15 22:08:00+00:00,1.16479,1.16479,1.16472,1.16476
2025-10-15 22:09:00+00:00,1.16476,1.16476,1.16468,1.1647
2025-10-15 22:10:00+00:00,1.16471,1.16476,1.16471,1.16472
2025-10-15 22:11:00+00:00,1.1647,1.16472,1.1647,1.16472
2025-10-15 22:12:00+00:00,1.16472,1.16476,1.16472,1.16476
2025-10-15 22:13:00+00:00,1.16474,1.16475,1.16472,1.16472
2025-10-15 22:14:00+00:00,1.1647,1.16476,1.1647,1.16476
2025-10-15 22:15:00+00:00,1.16475,1.16477,1.16473,1.16476
2025-10-15 22:16:00+00:00,1.16477,1.16478,1.16472,1.16478
2025-10-15 22:17:00+00:00,1.16477,1.1648,1.16476,1.16479
2025-10-15 22:18:00+00:00,1.1648,1.16482,1.16479,1.1648
2025-10-15 22:19:00+00:00,1.16481,1.16481,1.1648,1.1648
2025-10-15 22:20:00+00:00,1.16481,1.16481,1.1648,1.1648
2025-10-15 22:21:00+00:00,1.1648,1.1648,1.1648,1.1648
2025-10-15 22:22:00+00:00,1.1648,1.1648,1.16479,1.1648
